grid,positionText,position_quali,sma_position,avg_pos_move
18,4,18,9.8,
8,3,8,6.6,
13,4,13,12.0,
9,4,10,13.6,
2,4,2,4.2,
3,3,3,2.8,
15,3,15,8.2,
8,2,9,8.0,
20,1,20,7.0,
4,0,5,1.4,
17,4,17,12.8,
1,1,1,2.8,
11,3,12,4.0,
7,4,8,11.6,
14,4,4,7.0,
6,1,7,9.6,
18,4,18,12.2,
10,3,11,6.8,
16,3,16,11.0,
19,4,19,10.2,
5,4,6,6.6,
12,2,13,12.4,
13,4,14,8.8,
5,3,6,6.8,
19,4,20,14.0,
14,4,15,14.6,
4,2,5,5.2,
17,4,18,8.0,
16,4,17,12.6,
8,3,9,7.8,
1,1,1,2.8,
9,4,10,9.2,
11,4,12,10.4,
3,1,4,7.0,
18,4,19,15.6,
