grid,positionText,last_1,last_2,avg_position_real
7,3,3,3,8.368421052631579
2,3,4,4,9.688524590163935
3,3,3,3,7.205882352941177
5,2,2,1,7.787878787878788
19,4,0,3,7.190476190476191
11,4,4,4,9.975609756097562
18,0,4,3,9.78048780487805
17,0,4,4,8.8
12,4,0,4,11.555555555555555
20,4,3,0,9.428571428571429
15,4,3,3,5.739837398373984
14,4,3,4,7.059701492537314
5,1,1,1,2.819672131147541
3,1,2,1,6.016260162601626
6,1,1,2,4.203252032520325
10,2,4,3,5.739837398373984
12,2,3,4,6.8264462809917354
11,3,0,4,8.8
9,3,0,4,9.78048780487805
18,3,3,4,9.688524590163935
15,3,4,3,9.428571428571429
14,3,3,3,7.205882352941177
17,4,3,3,8.368421052631579
19,4,4,0,11.555555555555555
16,0,4,4,9.94059405940594
7,0,4,3,7.059701492537314
20,0,4,4,9.975609756097562
13,0,4,4,9.320754716981131
4,0,2,2,7.787878787878788
2,0,3,0,2.4715447154471546
1,0,1,1,6.297520661157025
8,0,4,0,7.190476190476191
7,3,3,0,9.78048780487805
9,3,2,3,6.8264462809917354
5,2,1,1,4.203252032520325
12,4,3,0,8.8
17,4,0,4,9.94059405940594
15,4,,,8.36448598130841
16,4,3,4,9.428571428571429
13,3,3,3,9.688524590163935
14,0,2,4,5.739837398373984
19,4,0,4,9.975609756097562
18,4,4,4,11.555555555555555
8,4,0,4,7.059701492537314
4,1,1,2,6.016260162601626
1,1,1,1,2.819672131147541
3,1,0,3,2.4715447154471546
20,2,0,1,6.297520661157025
0,0,0,2,7.787878787878788
11,3,4,3,8.368421052631579
6,3,3,3,7.205882352941177
10,4,0,4,7.190476190476191
19,0,0,2,5.739837398373984
4,1,1,0,2.4715447154471546
3,1,1,1,6.016260162601626
17,4,4,4,11.555555555555555
18,4,4,3,8.8
14,4,4,,8.36448598130841
9,4,3,3,9.78048780487805
16,0,4,0,9.975609756097562
15,0,3,3,9.688524590163935
2,0,2,0,6.297520661157025
11,0,4,0,7.059701492537314
20,4,4,0,7.190476190476191
1,1,1,1,2.819672131147541
6,2,2,1,4.203252032520325
5,3,3,3,7.205882352941177
10,2,0,0,7.787878787878788
12,3,4,0,9.94059405940594
13,3,4,3,9.428571428571429
8,3,3,4,8.368421052631579
7,3,3,2,6.8264462809917354
9,3,3,3,6.8264462809917354
13,4,0,4,9.975609756097562
19,4,,,9.08
12,4,3,4,9.428571428571429
15,4,0,3,9.688524590163935
11,3,0,4,9.320754716981131
10,3,3,3,8.368421052631579
20,4,4,3,9.78048780487805
14,0,4,4,11.555555555555555
4,0,1,1,6.016260162601626
8,0,4,4,7.190476190476191
17,4,3,4,9.94059405940594
18,0,0,4,7.059701492537314
5,1,2,0,7.787878787878788
2,1,0,2,6.297520661157025
1,1,1,1,2.819672131147541
16,2,1,1,2.4715447154471546
7,3,0,0,5.739837398373984
3,2,2,2,4.203252032520325
6,3,3,3,7.205882352941177
1,2,1,0,6.297520661157025
10,4,3,3,8.368421052631579
3,3,1,1,2.819672131147541
18,3,0,4,7.190476190476191
19,4,4,4,9.78048780487805
13,4,0,4,11.555555555555555
15,4,4,3,9.428571428571429
8,0,3,0,5.739837398373984
12,0,4,0,9.975609756097562
17,0,4,,9.08
7,0,0,0,7.059701492537314
16,0,0,1,6.016260162601626
14,3,4,3,9.94059405940594
6,2,3,3,7.205882352941177
11,3,4,0,9.688524590163935
9,3,3,3,6.8264462809917354
5,1,1,2,7.787878787878788
2,1,2,1,2.4715447154471546
4,1,2,2,4.203252032520325
2,1,2,1,6.297520661157025
18,0,0,4,9.08
10,0,2,3,7.205882352941177
12,0,4,4,9.78048780487805
13,0,3,4,9.94059405940594
17,4,0,4,9.975609756097562
15,4,4,0,11.555555555555555
11,4,4,4,9.428571428571429
16,4,3,4,9.688524590163935
19,4,4,4,8.36448598130841
1,1,1,2,4.203252032520325
3,1,1,1,7.787878787878788
20,2,3,1,2.819672131147541
4,2,1,2,2.4715447154471546
14,3,0,0,6.016260162601626
9,3,4,3,8.368421052631579
6,3,3,0,7.190476190476191
7,3,0,0,7.059701492537314
8,4,0,3,5.739837398373984
5,3,3,3,6.8264462809917354
4,0,3,0,6.016260162601626
17,4,4,4,8.36448598130841
20,4,0,0,9.08
18,4,4,4,11.555555555555555
14,4,0,3,9.94059405940594
13,4,0,4,9.78048780487805
12,0,4,0,5.739837398373984
15,4,4,3,9.688524590163935
19,4,4,0,9.975609756097562
9,3,0,2,7.205882352941177
8,3,3,3,6.8264462809917354
7,3,3,0,7.059701492537314
6,2,2,1,2.4715447154471546
5,2,1,1,7.787878787878788
16,4,4,4,9.428571428571429
10,3,3,4,8.368421052631579
