grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,rolling_avg_pos_move_5,avg_position_real_rolling_5,propensity_1,propensity_0,sma_3
14,0,11.0,0,1,0,1,0,1,1.0,12.4,0.7692307692307693,0.23076923076923078,12.0
6,0,5.0,0,0,0,1,1,0,-0.8,7.6,0.35294117647058826,0.6470588235294118,7.333333333333333
11,0,19.0,0,1,0,0,0,0,3.6,9.0,0.6923076923076923,0.3076923076923077,9.0
1,0,0.0,4,1,0,0,0,1,3.8,2.4,0.7333333333333333,0.26666666666666666,3.0
2,1,178.0,2,0,1,1,0,1,3.8,4.4,0.4,0.6,2.3333333333333335
19,1,0.0,0,1,1,0,0,0,2.2,10.8,0.8333333333333334,0.16666666666666666,11.0
5,1,262.0,0,1,0,0,0,0,1.4,3.8,0.42857142857142855,0.5714285714285714,4.333333333333333
4,1,333.0,2,0,0,0,1,1,1.0,3.8,0.625,0.375,4.666666666666667
20,1,0.0,0,1,1,,,,,,1.0,0.0,
9,0,36.0,0,0,0,0,0,0,2.4,7.0,0.125,0.875,7.0
9,0,158.0,0,1,0,1,0,1,1.2,10.0,0.4,0.6,10.0
15,1,28.0,0,1,0,1,1,1,1.0,14.8,0.9230769230769231,0.07692307692307693,15.333333333333334
4,0,193.0,2,1,0,1,1,0,4.0,3.6,0.45454545454545453,0.5454545454545454,2.3333333333333335
3,1,280.0,0,1,1,0,0,0,1.8,4.0,0.4666666666666667,0.5333333333333333,3.6666666666666665
7,1,83.0,0,0,0,0,1,0,-2.4,11.6,0.5,0.5,11.666666666666666
20,0,302.0,9,0,1,1,1,1,-0.6,2.8,0.6666666666666666,0.3333333333333333,3.6666666666666665
2,1,0.0,5,0,1,0,0,0,3.2,3.0,0.6875,0.3125,3.3333333333333335
5,0,42.0,0,0,0,0,0,0,2.6,6.6,0.11764705882352941,0.8823529411764706,7.333333333333333
1,1,345.0,2,1,0,0,0,1,1.0,3.8,0.6470588235294118,0.35294117647058826,3.6666666666666665
14,0,40.0,1,0,0,1,1,1,3.4,3.0,0.6923076923076923,0.3076923076923077,2.6666666666666665
11,1,8.0,0,1,1,0,1,0,2.2,12.0,0.6,0.4,12.666666666666666
6,0,13.0,0,1,0,1,1,0,3.8,11.0,0.7777777777777778,0.2222222222222222,10.666666666666666
16,1,19.0,0,0,1,0,0,0,3.8,8.0,0.6428571428571429,0.35714285714285715,8.333333333333334
17,1,200.0,0,0,1,0,1,0,-0.6,16.6,1.0,0.0,17.0
8,1,94.0,0,0,0,0,0,0,2.4,8.4,0.2727272727272727,0.7272727272727273,8.333333333333334
19,1,0.0,0,1,1,1,,,,,1.0,0.0,
20,1,0.0,0,0,0,1,,,,,1.0,0.0,
18,1,28.0,0,1,1,0,1,1,2.0,14.4,0.9285714285714286,0.07142857142857142,14.333333333333334
19,1,200.0,0,1,0,1,0,1,-0.6,16.0,1.0,0.0,15.333333333333334
6,0,205.0,2,0,1,0,1,1,3.2,2.6,0.4166666666666667,0.5833333333333334,3.3333333333333335
16,1,8.0,0,1,1,1,0,1,0.2,13.2,0.625,0.375,14.666666666666666
13,1,0.0,0,0,1,1,1,0,2.4,10.4,0.8461538461538461,0.15384615384615385,12.666666666666666
11,0,13.0,0,0,1,0,1,1,3.2,11.4,0.7,0.3,9.666666666666666
9,0,5.0,0,0,0,0,0,1,0.0,7.4,0.3333333333333333,0.6666666666666666,5.666666666666667
14,1,17.0,0,0,0,1,0,1,2.8,11.0,0.7142857142857143,0.2857142857142857,10.666666666666666
7,0,87.0,0,1,0,0,0,1,-2.8,12.4,0.5384615384615384,0.46153846153846156,13.0
